TITULO EVENTO;FECHA;LUGAR;URL EVENTO;FUENTE
Escuela de espectadores Sénior;01/09/2025;Matadero Madrid;https://www.mataderomadrid.org/programacion/escuela-de-espectadores-senior-0;https://www.mataderomadrid.org/programacion
PROGRAMAS PARA COLEGIOS ESO, BACHILLERATO Y FP;01/09/2025;Matadero Madrid;https://www.mataderomadrid.org/programacion/programas-para-colegios-eso-bachillerato-y-fp;https://www.mataderomadrid.org/programacion
Detectives de la lectura;01/09/2025;Matadero Madrid;https://www.mataderomadrid.org/programacion/detectives-de-la-lectura;https://www.mataderomadrid.org/programacion
DecirSioNo;01/09/2025;Matadero Madrid;https://www.mataderomadrid.org/programacion/decirsiono;https://www.mataderomadrid.org/programacion
Spasticus Artisticus;01/01/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/spasticus-artisticus-0;https://www.mataderomadrid.org/programacion
La Tullida Gallery, un Proyecto de Costa Badía, residente de arte y educación;21/01/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/la-tullida-gallery-un-proyecto-de-costa-badia-residente-de-arte-y-educacion;https://www.mataderomadrid.org/programacion
Exposición 'El cómic belga';11/03/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/exposicion-el-comic-belga;https://www.mataderomadrid.org/programacion
Libros a la calle para los pequeños y jóvenes lectores;19/03/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/libros-la-calle-para-los-pequenos-y-jovenes-lectores;https://www.mataderomadrid.org/programacion
Elena Rose (Segunda fecha);06/04/2026;Sala La Riviera;https://feverup.com/m/570630;https://salariviera.com/conciertossalariviera/
LAURA PAUSINI YO CANTO WORLD TOUR 2026;06/04/2026;Movistar Arena;https://www.movistararena.es/informacion?evento=laura-pausini-yo-canto-world-tour-2026;https://www.movistararena.es/calendario
Sesión de cortometrajes I - Flamenco García Lorca;07/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/sesion-de-cortometrajes-i-flamenco-garcia-lorca;https://www.mataderomadrid.org/programacion
Elena Rose (Sold Out);07/04/2026;Sala La Riviera;https://salariviera.com/event/elena-rose/;https://salariviera.com/conciertossalariviera/
TAME IMPALA DEADBEAT;07/04/2026;Movistar Arena;https://www.movistararena.es/informacion?evento=tame-impala-deadbeat;https://www.movistararena.es/calendario
Fundación Scherzo. Eva Gevorgyan;07/04/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/fundacion-scherzo-eva-gevorgyan-1;https://auditorionacional.inaem.gob.es/es/programacion
OCNE. Satélite 15. Prisma Francés – Monográfico sobre Francis Poulenc;07/04/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/ocne-satelite-15-prisma-frances-2013-monografico-sobre-francis-poulenc;https://auditorionacional.inaem.gob.es/es/programacion
Sesión de cortometrajes II - Flamenco García Lorca;08/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/sesion-de-cortometrajes-ii-flamenco-garcia-lorca;https://www.mataderomadrid.org/programacion
Las amistades peligrosas;08/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/las-amistades-peligrosas-0;https://www.mataderomadrid.org/programacion
SESIÓN CONTÍNUA: COTILLEOS;08/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/sesion-continua-cotilleos;https://www.mataderomadrid.org/programacion
Marquitos (fka ODDLIQUOR);08/04/2026;Sala La Riviera;https://feverup.com/m/274902;https://salariviera.com/conciertossalariviera/
7 x Medio;08/04/2026;Café Berlín;https://berlincafe.es/programa/7-x-medio/;https://berlincafe.es/programas/
Les Concerts du Lac. Eva Oertle & Vesselin Stanev;08/04/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/les-concerts-du-lac-eva-oertle-vesselin-stanev-1;https://auditorionacional.inaem.gob.es/es/programacion
Excelentia. Eroica de Beethoven;08/04/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/excelentia-violin-sibelius-2018eroica2019-beethoven;https://auditorionacional.inaem.gob.es/es/programacion
LA MILAGROSA;09/04/2026;Sala But;https://ochoymedioclub.com/conciertos/vvv-trippin-you/?srsltid=AfmBOop9Jp_mAsQIGryhKuqv4bBexGULnrD24QX96-ioHUL4mZEV4YMV;https://www.salabut.es/agenda-conciertos/
CALEQUI Y LAS PANTERAS [SOLD OUT];09/04/2026;Sala El Sol;https://salaelsol.com/eventos/calequi-y-las-panteras-sold-out/;https://salaelsol.com/agenda/
Sesión de cortometrajes III - Flamenco García Lorca;09/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/sesion-de-cortometrajes-iii-flamenco-garcia-lorca;https://www.mataderomadrid.org/programacion
Crueles intenciones;09/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/crueles-intenciones;https://www.mataderomadrid.org/programacion
Danish Dance Theatre Company | Marina Mascarell;09/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/danish-dance-theatre-company-marina-mascarell;https://www.mataderomadrid.org/programacion
Soziedad Alkoholika;09/04/2026;Sala La Riviera;https://dice.fm/event/v3gv2v-soziedad-alkoholika-en-sound-isidro-9th-apr-la-riviera-madrid-tickets;https://salariviera.com/conciertossalariviera/
BGP Trío – “Reencuentro y celebración”;09/04/2026;Café Berlín;https://berlincafe.es/programa/bgp-trio-reencuentro-y-celebracion/;https://berlincafe.es/programas/
camoufly en microdosis;09/04/2026;Café Berlín;https://berlincafe.es/programa/camoufly-en-microdosis/;https://berlincafe.es/programas/
CLASSY MADRID;09/04/2026;Café Berlín;https://berlincafe.es/programa/classy-madrid/;https://berlincafe.es/programas/
RALY A0 TOUR 2026;09/04/2026;La Sala del Movistar Arena;https://www.movistararena.es/informacion?evento=raly-a0-tour-2026;https://www.movistararena.es/calendario
CNDM y La Filarmónica. Cuarteto Casals /Shostakóvich 5;09/04/2026;Sala de Cámara;https://auditorionacional.inaem.gob.es/es/programacion/la-filarmonica-cuarteto-casals-shostakovich-5;https://auditorionacional.inaem.gob.es/es/programacion
Maelicum Conciertos. Sergej Krylov. Lithuanian Chamber Orchestra;09/04/2026;Sala Sinfónica;https://auditorionacional.inaem.gob.es/es/programacion/maelicum-conciertos-sergej-krylov-lithuanian-chamber-orchestra;https://auditorionacional.inaem.gob.es/es/programacion
Canteca de Macao;10/04/2026;Teatro Eslava;https://teatroeslava.com/conciertos/canteca-de-macao/;https://teatroeslava.com/conciertos-madrid/
LA PERRA BLANCO;10/04/2026;Sala But;https://dice.fm/event/q28gpy-metrika-en-mazo-segunda-fecha-12th-feb-sala-but-madrid-tickets?lng=es;https://www.salabut.es/agenda-conciertos/
MAD BILLIES + RUMBOS;10/04/2026;Sala El Sol;https://salaelsol.com/eventos/mad-billies-rumbos/;https://salaelsol.com/agenda/
Demon Slayer – Kimetsu no Yaiba;10/04/2026;Arena;https://www.palaciovistalegre.com/event/demon-slayer-kimetsu-no-yaiba/;https://www.palaciovistalegre.com/events/
Tremenda, un show de Petite Lorena;10/04/2026;Teatro Alcázar;https://gruposmedia.com/cartelera/tremenda-un-show-de-petite-lorena/;https://gruposmedia.com/teatro-alcazar/
Show patético - Abián ...;10/04/2026;Teatro Real Carlos III de Aranjuez;https://teatroaranjuez.es/cartelera/show-patetico-abian-diaz/;https://teatroaranjuez.es/cartelera/
Encuentro con Íñigo Rubio;10/04/2026;Matadero Madrid;https://www.mataderomadrid.org/programacion/encuentro-con-inigo-rubio;https://www.mataderomadrid.org/programacion
